stop_id,stop_code,stop_name,tts_stop_name,stop_lat,stop_lon,wheelchair_boarding,location_type,parent_station,platform_code
140360,140360,ALTO MOINHO (AV GUERRA JUNQUEIRO) JARDIM,Alto Moinho ( Avenida Guerra Junqueiro ) Jardim,38.634642,-9.163671,0,0,,
140361,140361,PINHAL VIDAL (R PINHEIROS N51),Pinhal Vidal ( Rua Pinheiros ( Número 51 ) ),38.633252,-9.171938,0,0,,
140362,140362,PINHAL VIDAL (R PINHEIROS N51),Pinhal Vidal ( Rua Pinheiros ( Número 51 ) ),38.633197,-9.171822,0,0,,
140363,140363,PINHAL VIDAL (AV PINHAL VIDAL 19A),Pinhal Vidal ( Avenida Pinhal Vidal 19 Á ),38.631798,-9.171054,0,0,,
140364,140364,PINHAL VIDAL (AV PINHAL VIDAL 19A),Pinhal Vidal ( Avenida Pinhal Vidal 19 Á ),38.631726,-9.171155,0,0,,
140365,140365,AV PINHAL VIDAL (X) R DAS AMOREIRAS,Cruzamento Entre ( Avenida Pinhal Vidal ) E Rua Das Amoreiras,38.630186,-9.169486,0,0,,
140366,140366,AV PINHAL VIDAL (X) R DAS AMOREIRAS,Cruzamento Entre ( Avenida Pinhal Vidal ) E Rua Das Amoreiras,38.630096,-9.169555,0,0,,
140367,140367,AV PINHAL VIDAL 95 (PARQUE IGREJA),Avenida Pinhal Vidal 95 ( Parque Igreja ),38.62811,-9.167428,0,0,,
140368,140368,AV PINHAL VIDAL 95 (PARQUE IGREJA),Avenida Pinhal Vidal 95 ( Parque Igreja ),38.628102,-9.167198,0,0,,
140369,140369,VALE MILHAÇOS (AV V MILHAÇOS 265),Vale Milhaços ( Avenida Quinta Milhaços 265 ),38.6274,-9.165339,0,0,,
140370,140370,VALE MILHAÇOS (AV V MILHAÇOS 265),Vale Milhaços ( Avenida Quinta Milhaços 265 ),38.627316,-9.165525,0,0,,
140371,140371,AV VALE MILHAÇOS 190 CENTRO CONVIVIO,Avenida Vale Milhaços 190 Centro Convivio,38.629548,-9.163812,0,0,,
140372,140372,AV VALE MILHAÇOS 190 CENTRO CONVIVIO,Avenida Vale Milhaços 190 Centro Convivio,38.629652,-9.16386,0,0,,
140373,140373,VALE MILHAÇOS (AV V MILHAÇOS 203),Vale Milhaços ( Avenida Quinta Milhaços 203 ),38.630907,-9.16241,0,0,,
140374,140374,VALE MILHAÇOS (AV V MILHAÇOS 203),Vale Milhaços ( Avenida Quinta Milhaços 203 ),38.630853,-9.162605,0,0,,
140375,140375,VALE MILHAÇOS (AV V MILHAÇOS 162),Vale Milhaços ( Avenida Quinta Milhaços 162 ),38.631892,-9.160801,0,0,,
