route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
A,2,A_2_6.A21,Santa Apolónia,1,shp6
A,2,A_2_6.A22,Reboleira,0,shp7
A,2,A_2_6.A23,Santa Apolónia,1,shp6
A,2,A_2_6.A24,Reboleira,0,shp7
A,2,A_2_6.A25,Santa Apolónia,1,shp6
A,2,A_2_6.A26,Reboleira,0,shp7
A,2,A_2_6.A27,Santa Apolónia,1,shp6
A,2,A_2_6.A28,Reboleira,0,shp7
A,2,A_2_6.A29,Santa Apolónia,1,shp6
A,2,A_2_6.A30,Reboleira,0,shp7
A,2,A_2_6.A31,Santa Apolónia,1,shp6
A,2,A_2_6.A32,Reboleira,0,shp7
A,2,A_2_6.A33,Santa Apolónia,1,shp6
A,2,A_2_6.A34,Reboleira,0,shp7
A,2,A_2_6.A35,Santa Apolónia,1,shp6
A,2,A_2_6.A42,Reboleira,0,shp7
A,2,A_2_6.A43,Santa Apolónia,1,shp6
A,2,A_2_6.A44,Reboleira,0,shp7
A,2,A_2_6.A45,Santa Apolónia,1,shp6
A,2,A_2_6.A46,Reboleira,0,shp7
A,2,A_2_6.A47,Santa Apolónia,1,shp6
A,2,A_2_6.A48,Reboleira,0,shp7
A,2,A_2_6.A49,Santa Apolónia,1,shp6
A,2,A_2_6.A3,Reboleira,0,shp7
A,2,A_2_6.A4,Santa Apolónia,1,shp6
A,2,A_2_6.A5,Reboleira,0,shp7
A,2,A_2_6.A6,Santa Apolónia,1,shp6
A,2,A_2_6.A7,Reboleira,0,shp7
A,2,A_2_6.A8,Santa Apolónia,1,shp6
A,2,A_2_6.A08,Reboleira,0,shp7
A,2,A_2_6.A09,Santa Apolónia,1,shp6
A,2,A_2_6.A010,Reboleira,0,shp7
B,2,B_2_25.B1,Odivelas,1,shp11
B,2,B_2_25.B2,Rato,0,shp10
B,2,B_2_25.B3,Odivelas,1,shp11
B,2,B_2_25.B4,Rato,0,shp10
B,2,B_2_25.B5,Odivelas,1,shp11
B,2,B_2_25.B6,Rato,0,shp10
B,2,B_2_25.B7,Odivelas,1,shp11
B,2,B_2_25.B8,Rato,0,shp10
B,2,B_2_25.B9,Odivelas,1,shp11
B,2,B_2_25.B10,Rato,0,shp10
B,2,B_2_25.B11,Odivelas,1,shp11
B,2,B_2_25.B12,Rato,0,shp10
B,2,B_2_25.B13,Odivelas,1,shp11
B,2,B_2_25.B14,Rato,0,shp10
B,2,B_2_25.B15,Odivelas,1,shp11
B,2,B_2_25.B16,Rato,0,shp10
B,2,B_2_25.B17,Odivelas,1,shp11
B,2,B_2_25.B18,Rato,0,shp10
B,2,B_2_25.B19,Odivelas,1,shp11
B,2,B_2_25.B20,Rato,0,shp10
